incident_type,severity,affected_residents,timestamp,actual_outage_hrs,actual_cost
power_overload,medium,63,2025-07-18 21:05:35.036966,4.17,1861.28
water_pressure_drop,critical,2369,2025-07-18 21:14:17.036966,65.19,70586.73
water_pressure_drop,low,24,2025-07-18 21:14:49.036966,2.24,455.4
tank_overflow,low,19,2025-07-18 21:30:24.036966,1.59,419.66
abnormal_infrastructure,critical,1211,2025-07-18 21:58:00.036966,71.31,85731.93
tank_overflow,medium,64,2025-07-19 00:58:48.036966,5.23,2177.74
water_shortage,critical,2290,2025-07-19 01:19:31.036966,19.72,26286.49
water_pressure_drop,medium,62,2025-07-19 01:59:50.036966,3.31,1097.41
water_pressure_drop,critical,1709,2025-07-19 04:52:52.036966,31.55,34215.92
water_pressure_drop,medium,56,2025-07-19 06:42:40.036966,2.92,932.91
water_shortage,low,36,2025-07-19 07:38:22.036966,1.45,374.64
water_pressure_drop,high,180,2025-07-19 09:49:06.036966,8.55,5207.97
power_outage,critical,2614,2025-07-19 11:36:15.036966,111.81,201472.69
tank_overflow,critical,729,2025-07-19 11:50:43.036966,42.56,61549.89
tank_overflow,low,18,2025-07-19 12:09:49.036966,1.18,391.69
tank_overflow,high,244,2025-07-19 12:31:52.036966,10.07,7471.05
water_pressure_drop,medium,44,2025-07-19 12:56:09.036966,3.49,1149.02
tank_overflow,medium,36,2025-07-19 15:30:10.036966,2.3,963.13
power_outage,critical,3154,2025-07-19 15:45:56.036966,71.05,128104.39
power_overload,medium,74,2025-07-19 16:12:11.036966,2.77,1506.86
water_pressure_drop,critical,666,2025-07-19 16:18:46.036966,59.9,65239.35
water_pressure_drop,high,378,2025-07-19 16:19:18.036966,21.73,11906.41
water_pressure_drop,high,167,2025-07-19 16:49:08.036966,7.97,4648.51
water_shortage,low,28,2025-07-19 16:55:34.036966,2.1,758.89
abnormal_infrastructure,high,392,2025-07-19 18:53:49.036966,6.62,4221.43
water_pressure_drop,high,378,2025-07-19 19:33:14.036966,5.8,3233.6
tank_overflow,critical,1162,2025-07-19 20:49:23.036966,22.99,33588.38
tank_overflow,low,9,2025-07-19 21:19:11.036966,1.45,478.57
abnormal_infrastructure,medium,120,2025-07-19 21:31:52.036966,4.51,1587.48
abnormal_infrastructure,medium,45,2025-07-19 21:42:00.036966,5.28,1870.18
water_shortage,critical,1645,2025-07-19 23:31:30.036966,25.39,33684.16
power_outage,critical,3352,2025-07-19 23:33:15.036966,61.15,110277.06
abnormal_infrastructure,critical,2482,2025-07-19 23:38:53.036966,147.48,177353.56
power_outage,low,42,2025-07-20 00:12:54.036966,2.9,826.05
abnormal_infrastructure,high,305,2025-07-20 00:29:51.036966,20.95,12718.78
power_overload,low,19,2025-07-20 00:52:43.036966,1.14,501.36
water_shortage,high,378,2025-07-20 01:51:24.036966,10.38,7124.78
abnormal_infrastructure,high,171,2025-07-20 01:56:20.036966,11.46,7011.84
abnormal_infrastructure,medium,84,2025-07-20 02:57:10.036966,5.23,1682.7
water_shortage,low,12,2025-07-20 02:58:09.036966,3.23,740.9
tank_overflow,low,30,2025-07-20 03:26:31.036966,0.82,475.79
power_outage,critical,1236,2025-07-20 03:39:45.036966,108.5,195446.7
tank_overflow,critical,809,2025-07-20 05:59:18.036966,47.47,68995.62
abnormal_infrastructure,critical,1528,2025-07-20 06:59:13.036966,84.41,101511.61
tank_overflow,low,25,2025-07-20 08:26:56.036966,1.52,435.25
abnormal_infrastructure,high,415,2025-07-20 08:56:26.036966,12.97,8075.52
water_pressure_drop,high,157,2025-07-20 09:59:21.036966,7.03,4086.76
power_outage,medium,81,2025-07-20 10:25:52.036966,7.33,3372.4
water_shortage,medium,114,2025-07-20 10:26:42.036966,4.65,1706.6
abnormal_infrastructure,medium,106,2025-07-20 12:15:37.036966,7.81,2470.47
water_pressure_drop,critical,1837,2025-07-20 14:00:53.036966,20.23,22163.32
water_pressure_drop,critical,507,2025-07-20 14:27:28.036966,21.48,23312.66
power_outage,low,40,2025-07-20 15:54:28.036966,2.39,678.89
abnormal_infrastructure,high,241,2025-07-20 16:15:38.036966,17.8,11028.18
power_overload,high,244,2025-07-20 16:43:33.036966,8.84,7479.69
power_outage,critical,3700,2025-07-20 18:47:01.036966,27.85,50299.51
water_shortage,high,226,2025-07-20 18:56:48.036966,14.72,10083.8
tank_overflow,medium,79,2025-07-20 19:14:17.036966,10.75,4135.79
tank_overflow,critical,1632,2025-07-20 20:20:37.036966,61.94,89514.05
power_overload,low,13,2025-07-20 20:22:46.036966,2.09,577.46
power_overload,critical,1898,2025-07-20 20:50:00.036966,219.18,368428.41
water_shortage,high,723,2025-07-20 21:32:46.036966,21.81,14524.96
abnormal_infrastructure,high,452,2025-07-20 21:39:48.036966,3.97,2812.54
water_shortage,medium,126,2025-07-20 22:05:01.036966,3.5,1284.44
water_pressure_drop,medium,102,2025-07-20 22:27:16.036966,2.29,811.34
power_overload,critical,2490,2025-07-20 23:10:27.036966,28.14,47419.55
water_shortage,high,544,2025-07-20 23:15:27.036966,19.11,12769.65
tank_overflow,critical,2446,2025-07-21 00:51:23.036966,31.31,45214.54
power_outage,high,346,2025-07-21 03:33:54.036966,17.33,15683.14
water_pressure_drop,low,10,2025-07-21 04:20:17.036966,0.92,334.99
power_outage,medium,162,2025-07-21 05:11:15.036966,7.36,3709.48
abnormal_infrastructure,critical,2414,2025-07-21 05:35:26.036966,37.06,44604.01
abnormal_infrastructure,low,21,2025-07-21 06:12:59.036966,2.42,426.01
power_overload,low,26,2025-07-21 06:21:03.036966,2.47,778.15
power_overload,high,242,2025-07-21 06:40:44.036966,12.46,10691.25
tank_overflow,high,269,2025-07-21 06:49:15.036966,5.91,4502.32
water_shortage,critical,1735,2025-07-21 07:06:07.036966,27.22,36076.36
water_shortage,medium,150,2025-07-21 07:14:01.036966,13.06,4466.81
power_overload,high,387,2025-07-21 08:39:57.036966,20.6,17475.38
tank_overflow,low,7,2025-07-21 08:50:15.036966,1.3,545.99
water_pressure_drop,medium,51,2025-07-21 09:06:10.036966,3.9,1224.79
water_pressure_drop,critical,2207,2025-07-21 09:32:09.036966,24.52,26621.92
water_pressure_drop,medium,83,2025-07-21 09:36:28.036966,2.08,833.73
abnormal_infrastructure,medium,55,2025-07-21 11:20:29.036966,4.81,1612.32
water_shortage,high,210,2025-07-21 11:29:29.036966,18.22,12352.94
power_overload,medium,120,2025-07-21 12:15:31.036966,4.04,1985.18
water_shortage,low,18,2025-07-21 12:33:58.036966,2.12,488.4
abnormal_infrastructure,high,151,2025-07-21 15:26:58.036966,23.75,14445.4
water_shortage,high,190,2025-07-21 16:45:52.036966,6.17,4403.04
abnormal_infrastructure,high,112,2025-07-21 17:04:47.036966,8.98,5587.65
power_outage,medium,105,2025-07-21 17:08:10.036966,3.14,1645.33
power_overload,medium,35,2025-07-21 20:25:52.036966,11.19,4816.21
power_overload,critical,910,2025-07-21 20:35:28.036966,49.75,84002.98
power_overload,low,13,2025-07-21 20:42:56.036966,2.57,915.98
tank_overflow,low,18,2025-07-21 21:40:09.036966,1.1,553.84
tank_overflow,high,464,2025-07-21 23:24:11.036966,5.29,4110.87
abnormal_infrastructure,medium,90,2025-07-21 23:24:15.036966,4.18,1706.98
power_overload,low,18,2025-07-21 23:55:20.036966,1.51,482.12
water_pressure_drop,low,15,2025-07-21 23:56:18.036966,1.43,372.21
power_outage,medium,117,2025-07-22 00:08:53.036966,7.92,3633.78
abnormal_infrastructure,critical,1647,2025-07-22 00:13:24.036966,19.45,23546.33
abnormal_infrastructure,medium,101,2025-07-22 00:14:41.036966,8.74,2729.35
tank_overflow,medium,51,2025-07-22 00:20:38.036966,3.03,1468.72
water_shortage,high,360,2025-07-22 01:08:29.036966,23.45,15733.95
water_shortage,high,267,2025-07-22 01:55:38.036966,35.1,23332.31
abnormal_infrastructure,critical,1489,2025-07-22 02:36:30.036966,25.32,30521.38
power_overload,medium,40,2025-07-22 02:43:39.036966,4.35,2001.72
water_pressure_drop,medium,69,2025-07-22 03:21:31.036966,2.63,1052.33
abnormal_infrastructure,low,12,2025-07-22 03:52:41.036966,1.78,436.46
water_shortage,high,177,2025-07-22 05:08:02.036966,54.57,36526.77
tank_overflow,high,219,2025-07-22 05:34:42.036966,31.88,23340.05
abnormal_infrastructure,low,8,2025-07-22 06:14:32.036966,1.47,390.86
power_outage,critical,2982,2025-07-22 06:32:32.036966,221.81,399407.26
abnormal_infrastructure,high,101,2025-07-22 09:33:14.036966,12.99,8150.5
abnormal_infrastructure,critical,981,2025-07-22 09:45:25.036966,22.07,26606.84
water_shortage,low,13,2025-07-22 10:39:35.036966,2.85,763.81
tank_overflow,low,24,2025-07-22 10:57:47.036966,1.65,415.24
water_pressure_drop,high,268,2025-07-22 12:00:32.036966,7.52,4397.91
tank_overflow,medium,52,2025-07-22 12:08:10.036966,5.86,2275.57
water_pressure_drop,medium,36,2025-07-22 12:39:05.036966,2.86,984.93
water_shortage,low,15,2025-07-22 12:54:52.036966,1.63,409.04
water_shortage,low,36,2025-07-22 13:49:45.036966,1.6,471.89
power_outage,critical,2134,2025-07-22 14:03:11.036966,40.85,73719.68
water_shortage,critical,3121,2025-07-22 16:10:58.036966,65.64,86812.9
abnormal_infrastructure,critical,874,2025-07-22 16:35:58.036966,68.0,81872.28
water_pressure_drop,low,20,2025-07-22 17:43:50.036966,0.93,282.64
tank_overflow,low,8,2025-07-22 18:04:46.036966,1.98,463.71
tank_overflow,critical,1994,2025-07-22 19:28:57.036966,39.36,56797.52
abnormal_infrastructure,medium,35,2025-07-22 20:14:23.036966,3.17,1632.64
abnormal_infrastructure,medium,31,2025-07-22 21:11:09.036966,4.85,1716.95
power_outage,critical,2457,2025-07-22 21:23:11.036966,73.82,133120.78
abnormal_infrastructure,medium,97,2025-07-22 21:35:33.036966,2.88,977.45
power_overload,high,350,2025-07-22 21:39:08.036966,12.47,10583.75
power_outage,high,244,2025-07-22 22:59:09.036966,14.28,13023.54
water_shortage,high,183,2025-07-22 23:22:57.036966,5.25,3578.1
water_shortage,medium,99,2025-07-23 00:25:14.036966,4.15,1534.93
water_pressure_drop,critical,1000,2025-07-23 00:55:44.036966,34.09,36939.14
power_outage,high,598,2025-07-23 01:30:14.036966,40.14,36406.9
water_pressure_drop,high,436,2025-07-23 01:41:48.036966,9.09,5097.32
power_overload,low,27,2025-07-23 01:47:52.036966,1.33,395.66
power_outage,medium,120,2025-07-23 02:19:43.036966,4.62,2230.93
power_outage,high,712,2025-07-23 02:22:20.036966,13.85,12701.63
power_outage,low,30,2025-07-23 03:43:47.036966,2.04,1003.08
power_outage,critical,1215,2025-07-23 04:15:03.036966,27.33,49450.1
power_outage,high,633,2025-07-23 04:44:54.036966,23.21,22313.3
tank_overflow,critical,1099,2025-07-23 05:33:33.036966,48.95,70816.97
abnormal_infrastructure,critical,518,2025-07-23 05:58:23.036966,75.9,91204.42
water_pressure_drop,low,18,2025-07-23 07:11:43.036966,0.9,867.34
water_shortage,medium,108,2025-07-23 09:54:53.036966,5.32,1869.88
water_shortage,critical,1179,2025-07-23 10:36:37.036966,17.04,22699.78
power_overload,critical,905,2025-07-23 11:04:01.036966,28.3,47681.98
power_outage,high,373,2025-07-23 12:06:25.036966,8.15,7574.02
abnormal_infrastructure,critical,847,2025-07-23 12:51:03.036966,58.81,70797.86
power_outage,critical,1579,2025-07-23 13:25:26.036966,30.75,55502.19
abnormal_infrastructure,low,19,2025-07-23 13:42:23.036966,2.35,858.82
tank_overflow,low,30,2025-07-23 13:58:44.036966,1.36,319.54
power_overload,low,19,2025-07-23 14:13:02.036966,1.65,1106.76
abnormal_infrastructure,low,9,2025-07-23 14:29:18.036966,1.51,513.75
water_pressure_drop,high,415,2025-07-23 14:37:27.036966,4.99,2914.1
abnormal_infrastructure,medium,111,2025-07-23 14:47:44.036966,2.94,1011.41
tank_overflow,medium,73,2025-07-23 14:57:10.036966,6.11,2413.15
water_pressure_drop,medium,119,2025-07-23 16:01:11.036966,4.16,1354.4
water_pressure_drop,low,21,2025-07-23 16:26:06.036966,1.09,395.04
tank_overflow,high,448,2025-07-23 19:20:03.036966,14.17,10329.95
tank_overflow,medium,83,2025-07-23 20:27:45.036966,1.83,781.42
abnormal_infrastructure,critical,1488,2025-07-23 23:02:42.036966,58.92,70967.95
power_overload,medium,100,2025-07-23 23:11:26.036966,6.75,3087.09
water_pressure_drop,medium,37,2025-07-23 23:56:54.036966,2.49,1110.69
tank_overflow,low,12,2025-07-24 00:23:20.036966,1.47,335.48
water_shortage,critical,3418,2025-07-24 00:43:44.036966,125.67,166148.5
tank_overflow,critical,1259,2025-07-24 02:41:57.036966,213.24,307251.19
power_overload,critical,2102,2025-07-24 03:14:41.036966,66.76,112354.89
power_outage,low,37,2025-07-24 04:24:19.036966,2.14,633.01
water_shortage,critical,645,2025-07-24 05:29:26.036966,64.47,85319.36
power_outage,low,15,2025-07-24 07:50:32.036966,2.36,661.8
tank_overflow,critical,1945,2025-07-24 08:48:55.036966,12.67,18642.02
water_shortage,medium,148,2025-07-24 09:40:56.036966,4.64,1661.09
tank_overflow,critical,912,2025-07-24 10:00:33.036966,29.15,42184.47
water_shortage,medium,117,2025-07-24 12:13:23.036966,12.53,4395.73
water_pressure_drop,high,325,2025-07-24 12:31:48.036966,9.69,5695.05
power_overload,high,460,2025-07-24 12:38:08.036966,28.52,24170.86
abnormal_infrastructure,high,467,2025-07-24 12:38:12.036966,12.8,7787.84
power_overload,high,393,2025-07-24 13:44:08.036966,17.99,15346.54
abnormal_infrastructure,low,12,2025-07-24 14:02:53.036966,1.18,303.13
power_outage,high,420,2025-07-24 14:03:44.036966,23.27,21086.68
water_pressure_drop,low,22,2025-07-24 14:04:49.036966,2.02,497.55
water_pressure_drop,medium,92,2025-07-24 14:28:10.036966,6.56,1948.47
water_shortage,medium,55,2025-07-24 15:08:49.036966,2.37,1259.71
power_overload,medium,95,2025-07-24 17:03:41.036966,6.77,3351.04
water_shortage,high,666,2025-07-24 18:06:32.036966,17.27,11635.98
power_overload,critical,1341,2025-07-24 18:43:58.036966,109.65,184287.45
tank_overflow,critical,1559,2025-07-24 20:07:15.036966,11.66,16984.92
power_outage,high,195,2025-07-24 20:20:38.036966,37.69,34416.79
power_overload,critical,1726,2025-07-24 20:32:41.036966,64.13,107798.99
power_outage,low,37,2025-07-24 21:11:12.036966,1.82,519.36
power_outage,medium,148,2025-07-24 22:11:15.036966,3.86,2018.18
water_pressure_drop,medium,43,2025-07-24 23:55:22.036966,4.13,1424.1
water_shortage,medium,147,2025-07-25 00:48:21.036966,4.01,1459.56
water_pressure_drop,medium,93,2025-07-25 00:50:10.036966,2.96,1216.63
abnormal_infrastructure,low,28,2025-07-25 03:14:43.036966,1.85,524.36
tank_overflow,medium,64,2025-07-25 03:19:01.036966,13.9,5284.5
power_outage,critical,3013,2025-07-25 03:22:26.036966,130.85,235711.56
abnormal_infrastructure,high,475,2025-07-25 04:18:49.036966,23.15,14088.46
tank_overflow,critical,1937,2025-07-25 04:31:56.036966,26.61,38534.54
power_overload,critical,604,2025-07-25 05:27:05.036966,37.07,62501.16
power_outage,low,28,2025-07-25 06:44:58.036966,2.31,773.15
water_pressure_drop,high,326,2025-07-25 07:29:15.036966,22.15,12217.45
power_overload,high,355,2025-07-25 08:07:16.036966,13.11,11306.44
abnormal_infrastructure,critical,2051,2025-07-25 08:12:15.036966,33.63,40569.6
abnormal_infrastructure,critical,2417,2025-07-25 08:26:50.036966,36.96,44566.48
tank_overflow,low,12,2025-07-25 11:08:45.036966,1.17,490.53
power_overload,medium,68,2025-07-25 11:48:46.036966,4.14,2039.46
water_shortage,low,13,2025-07-25 12:13:07.036966,1.06,346.98
water_pressure_drop,low,14,2025-07-25 12:54:12.036966,1.74,482.6
power_overload,critical,1147,2025-07-25 13:00:31.036966,45.06,75893.09
power_outage,medium,111,2025-07-25 13:13:59.036966,5.08,2413.21
tank_overflow,critical,1067,2025-07-25 13:45:12.036966,20.84,30467.4
water_pressure_drop,critical,2402,2025-07-25 14:09:11.036966,31.33,34035.76
tank_overflow,low,19,2025-07-25 14:19:57.036966,1.13,675.89
abnormal_infrastructure,critical,472,2025-07-25 15:51:17.036966,25.93,31290.6
power_overload,high,197,2025-07-25 16:35:49.036966,15.03,12863.45
tank_overflow,low,24,2025-07-25 16:47:22.036966,1.84,458.06
tank_overflow,medium,45,2025-07-25 17:16:51.036966,3.27,1406.56
power_outage,medium,171,2025-07-25 17:36:04.036966,5.34,2656.03
tank_overflow,critical,1969,2025-07-25 18:06:47.036966,27.27,39387.59
water_pressure_drop,critical,819,2025-07-25 21:03:27.036966,105.95,114609.16
power_overload,critical,1456,2025-07-25 21:48:11.036966,72.87,122566.48
abnormal_infrastructure,medium,78,2025-07-25 22:29:42.036966,6.44,2414.54
water_pressure_drop,high,260,2025-07-25 22:31:57.036966,4.58,2689.59
abnormal_infrastructure,critical,2059,2025-07-25 22:36:32.036966,28.47,34325.46
power_outage,critical,1239,2025-07-25 23:00:05.036966,175.11,315958.82
power_outage,low,33,2025-07-25 23:16:44.036966,2.08,692.53
water_pressure_drop,medium,82,2025-07-25 23:51:25.036966,2.98,938.78
abnormal_infrastructure,high,134,2025-07-26 00:26:30.036966,4.71,3035.78
water_shortage,low,16,2025-07-26 00:50:13.036966,1.55,619.66
power_outage,critical,1362,2025-07-26 00:59:10.036966,68.06,122641.4
power_overload,critical,740,2025-07-26 03:49:57.036966,17.5,29564.36
abnormal_infrastructure,critical,1659,2025-07-26 04:01:29.036966,27.09,32706.56
abnormal_infrastructure,critical,1488,2025-07-26 04:10:40.036966,22.45,27062.63
abnormal_infrastructure,high,121,2025-07-26 05:04:14.036966,12.13,7744.42
abnormal_infrastructure,medium,97,2025-07-26 05:31:38.036966,5.52,1778.92
water_pressure_drop,critical,2412,2025-07-26 07:28:07.036966,20.71,22521.78
tank_overflow,high,366,2025-07-26 07:59:31.036966,22.97,16780.51
water_pressure_drop,high,347,2025-07-26 09:37:13.036966,6.95,3887.12
tank_overflow,low,27,2025-07-26 10:12:47.036966,1.79,493.83
water_pressure_drop,low,18,2025-07-26 10:28:46.036966,1.68,447.03
tank_overflow,low,13,2025-07-26 11:15:28.036966,0.9,294.78
power_overload,critical,1684,2025-07-26 12:01:39.036966,19.91,33968.95
power_outage,critical,2443,2025-07-26 15:55:50.036966,15.62,28228.38
water_pressure_drop,medium,34,2025-07-26 16:10:40.036966,2.19,697.56
power_overload,high,162,2025-07-26 16:27:00.036966,19.8,16946.82
power_outage,critical,3043,2025-07-26 17:07:51.036966,52.34,94313.24
tank_overflow,high,422,2025-07-26 19:46:28.036966,17.76,13101.22
water_shortage,critical,2355,2025-07-26 20:58:39.036966,45.91,60738.4
water_pressure_drop,critical,1416,2025-07-26 21:42:17.036966,32.8,35690.58
power_outage,critical,1281,2025-07-26 22:08:00.036966,29.76,53665.1
tank_overflow,critical,2163,2025-07-26 22:37:28.036966,7.85,11424.72
abnormal_infrastructure,critical,1532,2025-07-26 23:20:19.036966,26.64,32145.01
power_outage,high,261,2025-07-26 23:33:56.036966,30.2,27476.43
tank_overflow,low,21,2025-07-27 00:24:16.036966,1.37,343.53
power_overload,high,387,2025-07-27 00:51:20.036966,35.3,29764.75
power_overload,medium,28,2025-07-27 01:18:16.036966,8.91,4153.84
water_shortage,low,36,2025-07-27 01:35:08.036966,2.9,581.7
water_pressure_drop,low,30,2025-07-27 02:18:01.036966,1.38,297.71
water_pressure_drop,high,373,2025-07-27 03:29:18.036966,12.23,6817.01
power_outage,medium,177,2025-07-27 03:31:32.036966,3.22,1729.55
tank_overflow,high,318,2025-07-27 03:45:29.036966,6.86,5042.75
water_pressure_drop,high,495,2025-07-27 03:51:58.036966,18.28,10175.31
power_outage,high,427,2025-07-27 04:34:38.036966,5.08,4744.43
power_overload,medium,61,2025-07-27 04:54:45.036966,3.97,1885.21
power_outage,low,45,2025-07-27 05:56:30.036966,1.5,509.63
water_pressure_drop,low,23,2025-07-27 06:05:33.036966,0.84,193.38
water_pressure_drop,medium,25,2025-07-27 06:38:13.036966,1.49,536.23
water_shortage,critical,1485,2025-07-27 06:43:42.036966,22.43,29821.6
abnormal_infrastructure,medium,55,2025-07-27 09:05:10.036966,4.96,1821.91
power_outage,high,168,2025-07-27 09:07:23.036966,5.54,5365.08
tank_overflow,critical,1803,2025-07-27 10:50:07.036966,40.92,59203.26
water_pressure_drop,medium,103,2025-07-27 10:54:00.036966,2.96,1018.56
power_outage,critical,1564,2025-07-27 11:50:24.036966,33.42,60322.14
water_shortage,medium,90,2025-07-27 12:04:05.036966,5.19,1769.39
tank_overflow,high,418,2025-07-27 13:40:23.036966,5.68,4507.92
abnormal_infrastructure,medium,120,2025-07-27 14:34:29.036966,2.88,946.55
water_shortage,low,22,2025-07-27 14:37:22.036966,2.86,910.91
water_pressure_drop,medium,98,2025-07-27 14:54:56.036966,2.41,1185.96
abnormal_infrastructure,medium,68,2025-07-27 15:35:57.036966,3.96,1371.3
power_overload,low,10,2025-07-27 15:53:24.036966,3.0,1045.19
power_overload,low,30,2025-07-27 15:55:35.036966,2.86,794.61
tank_overflow,high,226,2025-07-27 16:17:50.036966,4.4,3337.57
power_outage,low,15,2025-07-27 17:47:14.036966,1.78,563.42
power_outage,medium,151,2025-07-27 17:53:52.036966,5.68,2687.7
water_pressure_drop,low,20,2025-07-27 18:40:03.036966,0.78,284.91
water_shortage,low,21,2025-07-27 18:42:11.036966,2.78,781.8
tank_overflow,high,450,2025-07-27 18:45:25.036966,16.79,12248.34
water_pressure_drop,critical,2344,2025-07-27 20:55:06.036966,25.39,27544.51
water_shortage,low,42,2025-07-27 21:01:45.036966,2.58,622.5
water_shortage,medium,73,2025-07-27 21:05:25.036966,5.93,2093.1
abnormal_infrastructure,critical,947,2025-07-27 21:40:21.036966,20.55,25057.78
water_shortage,critical,3622,2025-07-27 21:47:41.036966,52.4,69385.53
power_outage,high,555,2025-07-27 21:53:25.036966,10.49,9600.98
water_shortage,critical,1750,2025-07-27 22:07:41.036966,62.12,82251.72
abnormal_infrastructure,medium,78,2025-07-27 22:40:14.036966,4.53,1666.19
water_shortage,critical,3489,2025-07-27 23:50:34.036966,55.26,73310.31
power_overload,medium,59,2025-07-28 00:15:37.036966,5.68,2516.89
power_outage,medium,82,2025-07-28 00:36:59.036966,10.0,4758.19
power_outage,medium,147,2025-07-28 00:59:38.036966,11.0,5044.12
water_shortage,medium,145,2025-07-28 02:09:08.036966,3.77,1347.44
water_shortage,low,42,2025-07-28 02:46:43.036966,1.74,732.01
power_overload,high,403,2025-07-28 03:36:24.036966,18.2,15373.05
power_outage,critical,3456,2025-07-28 04:12:46.036966,46.05,83286.77
power_outage,critical,2433,2025-07-28 04:51:28.036966,164.51,296321.27
abnormal_infrastructure,critical,764,2025-07-28 05:39:28.036966,24.69,29802.09
power_overload,medium,32,2025-07-28 05:55:13.036966,4.76,2555.75
power_outage,low,30,2025-07-28 06:18:31.036966,2.55,695.99
abnormal_infrastructure,high,491,2025-07-28 06:45:24.036966,9.13,5668.47
power_overload,medium,59,2025-07-28 07:54:42.036966,6.19,2811.56
abnormal_infrastructure,low,24,2025-07-28 09:05:22.036966,1.94,394.18
tank_overflow,high,300,2025-07-28 09:51:20.036966,8.38,6337.1
water_shortage,low,34,2025-07-28 10:26:32.036966,1.44,537.54
abnormal_infrastructure,critical,1039,2025-07-28 10:57:03.036966,24.9,29967.52
power_overload,high,279,2025-07-28 11:51:09.036966,24.57,20924.15
water_shortage,high,747,2025-07-28 13:39:44.036966,16.74,11266.75
power_outage,low,15,2025-07-28 13:41:18.036966,4.75,1243.05
water_shortage,critical,991,2025-07-28 14:16:47.036966,59.45,78841.33
tank_overflow,critical,2351,2025-07-28 15:23:04.036966,40.23,58333.34
tank_overflow,high,241,2025-07-28 15:24:01.036966,9.82,7328.02
water_shortage,high,466,2025-07-28 16:18:21.036966,9.62,6508.17
abnormal_infrastructure,critical,1719,2025-07-28 16:45:00.036966,34.8,42127.9
water_shortage,critical,1897,2025-07-28 18:19:18.036966,37.98,50166.64
power_outage,critical,1564,2025-07-28 19:21:29.036966,314.31,565874.94
tank_overflow,low,18,2025-07-28 20:43:02.036966,1.79,476.72
power_overload,low,8,2025-07-28 20:53:18.036966,1.9,821.13
abnormal_infrastructure,medium,75,2025-07-28 21:14:46.036966,3.52,1175.51
abnormal_infrastructure,medium,69,2025-07-28 21:49:59.036966,3.37,1113.74
abnormal_infrastructure,high,469,2025-07-28 22:06:38.036966,8.71,5320.73
tank_overflow,low,9,2025-07-28 22:45:47.036966,1.54,519.01
power_outage,high,450,2025-07-28 23:12:31.036966,13.0,11925.75
power_overload,medium,119,2025-07-28 23:15:12.036966,3.8,1754.86
water_pressure_drop,high,149,2025-07-29 00:28:02.036966,21.19,11678.33
water_shortage,medium,51,2025-07-29 01:30:25.036966,8.02,2836.5
abnormal_infrastructure,high,325,2025-07-29 02:07:33.036966,14.37,8884.17
abnormal_infrastructure,high,274,2025-07-29 02:53:28.036966,12.56,7610.03
water_pressure_drop,medium,49,2025-07-29 06:14:59.036966,2.24,898.99
abnormal_infrastructure,low,6,2025-07-29 08:36:29.036966,1.72,373.38
water_pressure_drop,high,388,2025-07-29 09:00:41.036966,9.74,5458.69
power_overload,low,29,2025-07-29 10:11:13.036966,1.93,993.98
abnormal_infrastructure,critical,1000,2025-07-29 11:29:30.036966,93.22,112203.07
power_outage,critical,3628,2025-07-29 11:38:26.036966,66.55,119917.66
tank_overflow,critical,766,2025-07-29 12:00:14.036966,37.02,53687.88
water_pressure_drop,medium,73,2025-07-29 12:50:40.036966,1.85,982.84
water_shortage,critical,1735,2025-07-29 13:31:45.036966,22.08,29421.42
abnormal_infrastructure,critical,1686,2025-07-29 13:54:45.036966,77.46,93112.05
power_outage,critical,3195,2025-07-29 14:44:02.036966,79.98,144229.31
water_pressure_drop,low,20,2025-07-29 15:20:00.036966,1.33,592.7
abnormal_infrastructure,low,11,2025-07-29 15:43:09.036966,1.72,380.38
power_outage,medium,130,2025-07-29 15:48:11.036966,9.38,4633.64
power_outage,critical,1624,2025-07-29 16:54:47.036966,37.02,67066.6
water_shortage,low,15,2025-07-29 17:08:47.036966,2.56,628.0
abnormal_infrastructure,critical,1909,2025-07-29 17:55:05.036966,14.27,17269.76
abnormal_infrastructure,low,21,2025-07-29 17:59:07.036966,1.74,752.03
tank_overflow,low,16,2025-07-29 18:01:26.036966,1.67,583.07
power_overload,critical,2492,2025-07-29 18:21:09.036966,85.19,143280.38
abnormal_infrastructure,high,227,2025-07-29 19:44:44.036966,11.93,7280.65
water_pressure_drop,high,378,2025-07-29 21:03:53.036966,16.17,9001.21
tank_overflow,high,130,2025-07-29 21:15:08.036966,7.36,5381.13
power_outage,medium,82,2025-07-29 21:35:32.036966,8.74,4153.14
abnormal_infrastructure,medium,101,2025-07-29 22:06:59.036966,6.13,2162.43
tank_overflow,critical,612,2025-07-29 23:08:24.036966,64.99,93835.49
power_overload,critical,907,2025-07-29 23:14:58.036966,62.16,104581.31
power_overload,medium,91,2025-07-30 00:36:13.036966,7.84,3930.18
power_outage,critical,3573,2025-07-30 00:51:08.036966,26.33,47855.65
power_overload,low,5,2025-07-30 01:06:19.036966,1.79,757.34
water_shortage,high,501,2025-07-30 01:17:13.036966,8.93,6140.98
tank_overflow,low,18,2025-07-30 01:25:13.036966,0.88,315.5
power_outage,high,561,2025-07-30 02:25:25.036966,5.95,5655.99
power_outage,critical,2991,2025-07-30 03:52:04.036966,22.96,41428.81
abnormal_infrastructure,medium,88,2025-07-30 03:54:57.036966,7.1,2208.92
abnormal_infrastructure,critical,2258,2025-07-30 03:55:51.036966,18.74,23207.51
water_shortage,critical,3525,2025-07-30 04:44:57.036966,18.36,24478.73
